method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std,isnr_mean,isnr_std,issm_mean,issm_std,degradation_time_ms_mean,degradation_time_ms_std,upscaling_time_ms_mean,upscaling_time_ms_std,metrics_time_ms_mean,metrics_time_ms_std,total_method_time_ms_mean,total_method_time_ms_std,slice_axis,overall_score,overall_rank
lanczos,31,0.6816866993904114,0.014346633106470108,20.81228256225586,0.39036452770233154,0.008327862247824669,0.000753275933675468,0.05628154054284096,0.0029979590326547623,0.09116442501544952,0.004112000111490488,0.09116442501544952,0.004112000111490488,0.955172598361969,0.005814507603645325,0.14361552894115448,0.011936786584556103,0.1518096923828125,0.0037009159568697214,5.6281538009643555,0.299795925617218,0.6413108110427856,0.0303469467908144,,,0.24218681454658508,0.00957175437361002,0.22816531360149384,0.01426642294973135,7.573334217071533,0.24266070127487183,7.802384376525879,0.24858734011650085,axial,0.976089,1
bicubic,31,0.6838058233261108,0.014940801076591015,20.769779205322266,0.3922043740749359,0.00841008871793747,0.0007641151896677911,0.05631978064775467,0.0030519203282892704,0.09161254018545151,0.00415118457749486,0.09161254018545151,0.00415118457749486,0.9546719789505005,0.005898670293390751,0.1516989767551422,0.013372436165809631,0.1532307267189026,0.00431418651714921,5.6319780349731445,0.30519208312034607,0.5988037586212158,0.02530556730926037,,,0.24218681454658508,0.00957175437361002,0.15237367153167725,0.006885752081871033,7.576097011566162,0.31692442297935486,7.729271411895752,0.32045549154281616,axial,0.969434,2
lanczos,31,0.6685179471969604,0.003305524354800582,20.763771057128906,0.1641225665807724,0.008393281139433384,0.0003150033007841557,0.05721300467848778,0.0009459937573410571,0.09159860014915466,0.001724857953377068,0.09159860014915466,0.001724857953377068,0.9549371004104614,0.002565271919593215,0.13783596456050873,0.005455079022794962,0.15948323905467987,0.0021831102203577757,5.72130012512207,0.09459935873746872,0.5556269884109497,0.03232242166996002,,,0.2543737590312958,0.03843036666512489,0.24202679097652435,0.03248393163084984,8.067438125610352,0.8653220534324646,8.310539245605469,0.8780233860015869,coronal,0.86561,3
bicubic,31,0.6701626181602478,0.003077967092394829,20.740140914916992,0.16532514989376068,0.008439149707555771,0.0003185780660714954,0.057178135961294174,0.0009606503881514072,0.09184834361076355,0.0017409534193575382,0.09184834361076355,0.0017409534193575382,0.9546604752540588,0.00253611640073359,0.14496663212776184,0.005850515328347683,0.16058479249477386,0.0021244902163743973,5.717813968658447,0.09606506675481796,0.5319995880126953,0.026415349915623665,,,0.2543737590312958,0.03843036666512489,0.1718858927488327,0.052976787090301514,8.287960052490234,1.5556869506835938,8.460941314697266,1.5626333951950073,coronal,0.855706,4
nearest,31,0.6634533405303955,0.011213324032723904,20.189237594604492,0.32384082674980164,0.009600277990102768,0.0007159584201872349,0.05995703488588333,0.0026769908145070076,0.09791293740272522,0.0036517020780593157,0.09791293740272522,0.0036517020780593157,0.9478797912597656,0.006039167754352093,0.15081411600112915,0.011261243373155594,0.17583544552326202,0.004194455686956644,5.995703220367432,0.26769912242889404,0.018262354657053947,0.07055715471506119,,,0.24218681454658508,0.00957175437361002,0.11044087260961533,0.010736075229942799,7.39153528213501,0.47709715366363525,7.502789497375488,0.486311674118042,axial,0.618238,5
lanczos,31,0.6565448045730591,0.013429753482341766,20.193201065063477,0.38160276412963867,0.009601970203220844,0.0008465518476441503,0.06294436007738113,0.0034784104209393263,0.09789480268955231,0.004310051444917917,0.09789480268955231,0.004310051444917917,0.944907546043396,0.012252021580934525,0.16455385088920593,0.018036475405097008,0.1601954996585846,0.007178567349910736,6.294436454772949,0.3478410840034485,0.6705606579780579,0.03294594585895538,,,0.443077951669693,0.8665241003036499,0.2722070515155792,0.12124519050121307,8.395158767700195,1.2248420715332031,8.668322563171387,1.2876296043395996,sagittal,0.610646,6
bicubic,31,0.6566614508628845,0.014089257456362247,20.144865036010742,0.3876420557498932,0.00971063319593668,0.0008696309523656964,0.06308982521295547,0.0035845148377120495,0.0984441414475441,0.004402739927172661,0.0984441414475441,0.004402739927172661,0.9442142248153687,0.012501276098191738,0.17536817491054535,0.0197227094322443,0.16258038580417633,0.008295740000903606,6.3089823722839355,0.3584514260292053,0.6222240328788757,0.025789566338062286,,,0.443077951669693,0.8665241003036499,0.1675187051296234,0.013368519023060799,8.55296516418457,1.6772949695587158,8.721343994140625,1.6824132204055786,sagittal,0.585159,7
nearest,31,0.6542384028434753,0.002625929657369852,20.255874633789062,0.16800640523433685,0.009434831328690052,0.0003593585279304534,0.06026822701096535,0.0010571334278210998,0.0971151813864708,0.0018639726331457496,0.0971151813864708,0.0018639726331457496,0.9490295052528381,0.0023992187343537807,0.14288702607154846,0.005916280206292868,0.1822551190853119,0.001990538788959384,6.026822090148926,0.10571331530809402,0.04773181304335594,0.027887728065252304,,,0.2543737590312958,0.03843036666512489,0.11496235430240631,0.028680933639407158,7.798121452331543,0.7098641395568848,7.914212703704834,0.7163440585136414,coronal,0.578017,8
bilinear,31,0.6556313633918762,0.017080334946513176,20.17097282409668,0.3864881098270416,0.009652205742895603,0.0008620540029369295,0.06101148575544357,0.003252043854445219,0.09814810007810593,0.004376966040581465,0.09814810007810593,0.004376966040581465,0.9484362602233887,0.006703988648951054,0.21438245475292206,0.020662931725382805,0.2409529834985733,0.005786791909486055,6.1011481285095215,0.32520437240600586,0.0,0.0,,,0.24218681454658508,0.00957175437361002,0.11933331936597824,0.011663041077554226,7.554490566253662,0.32688474655151367,7.674704074859619,0.329999178647995,axial,0.477465,9
bilinear,31,0.6441860198974609,0.0031063801143318415,20.208141326904297,0.165114626288414,0.009538873098790646,0.00035831076093018055,0.06116857752203941,0.0010573446052148938,0.09764973074197769,0.0018451627111062407,0.09764973074197769,0.0018451627111062407,0.9491233229637146,0.0025978917255997658,0.2043798565864563,0.008422639220952988,0.245857372879982,0.002915260149165988,6.116857528686523,0.1057344600558281,0.0,0.0,,,0.2543737590312958,0.03843036666512489,0.1360214203596115,0.04423796012997627,7.921443939208984,0.861720085144043,8.059078216552734,0.8842968344688416,coronal,0.418995,10
nearest,31,0.6406310200691223,0.011470288969576359,19.58033561706543,0.3475665748119354,0.011049828492105007,0.0008823338430374861,0.0665850043296814,0.003165452042594552,0.1050342470407486,0.0041994983330369,0.1050342470407486,0.0041994983330369,0.9359950423240662,0.013753167353570461,0.17404799163341522,0.01837126351892948,0.18766868114471436,0.008084461092948914,6.658499717712402,0.31654518842697144,0.05769089609384537,0.05605601146817207,,,0.443077951669693,0.8665241003036499,0.1221587210893631,0.01882294937968254,8.44890022277832,1.243744134902954,8.571991920471191,1.259782314300537,sagittal,0.240547,11
bilinear,31,0.6164368391036987,0.017351849004626274,19.522640228271484,0.3931776285171509,0.01120768953114748,0.0010148881701752543,0.06851757317781448,0.0039036788512021303,0.10575795918703079,0.004789834376424551,0.10575795918703079,0.004789834376424551,0.9361491203308105,0.01436267327517271,0.25457149744033813,0.02927018515765667,0.25988447666168213,0.010192486457526684,6.851757049560547,0.39036789536476135,0.0,0.0,,,0.443077951669693,0.8665241003036499,0.13909003138542175,0.029166381806135178,8.561981201171875,2.0783143043518066,8.701918601989746,2.088568925857544,sagittal,0.000797,12
