slice_axis,method,num_rows,degradation_time_ms_mean,degradation_time_ms_std,upscaling_time_ms_mean,upscaling_time_ms_std,metrics_time_ms_mean,metrics_time_ms_std,total_method_time_ms_mean,total_method_time_ms_std
axial,nearest,31,0.2422,0.0096,0.1104,0.0107,7.3915,0.4771,7.5028,0.4863
axial,bilinear,31,0.2422,0.0096,0.1193,0.0117,7.5545,0.3269,7.6747,0.33
axial,bicubic,31,0.2422,0.0096,0.1524,0.0069,7.5761,0.3169,7.7293,0.3205
axial,lanczos,31,0.2422,0.0096,0.2282,0.0143,7.5733,0.2427,7.8024,0.2486
coronal,nearest,31,0.2544,0.0384,0.115,0.0287,7.7981,0.7099,7.9142,0.7163
coronal,bilinear,31,0.2544,0.0384,0.136,0.0442,7.9214,0.8617,8.0591,0.8843
coronal,lanczos,31,0.2544,0.0384,0.242,0.0325,8.0674,0.8653,8.3105,0.878
coronal,bicubic,31,0.2544,0.0384,0.1719,0.053,8.288,1.5557,8.4609,1.5626
sagittal,nearest,31,0.4431,0.8665,0.1222,0.0188,8.4489,1.2437,8.572,1.2598
sagittal,lanczos,31,0.4431,0.8665,0.2722,0.1212,8.3952,1.2248,8.6683,1.2876
sagittal,bilinear,31,0.4431,0.8665,0.1391,0.0292,8.562,2.0783,8.7019,2.0886
sagittal,bicubic,31,0.4431,0.8665,0.1675,0.0134,8.553,1.6773,8.7213,1.6824
