epoch,loss_mse_noise,epoch_seconds,samples,device
1,0.59706431,4.796,9,mps
2,0.15283643,3.835,9,mps
3,0.28224425,3.844,9,mps
4,0.19904055,3.894,9,mps
5,0.29612627,3.944,9,mps
6,0.26506147,3.866,9,mps
7,0.04943523,3.964,9,mps
8,0.11584314,4.292,9,mps
9,0.04976341,4.308,9,mps
10,0.2637984,3.98,9,mps
1,0.59706431,5.434,9,mps
2,0.15283643,3.953,9,mps
3,0.28224425,4.029,9,mps
4,0.19904055,4.302,9,mps
5,0.29612627,4.131,9,mps
6,0.26506147,4.235,9,mps
7,0.04943523,4.098,9,mps
8,0.11584314,4.031,9,mps
9,0.04976341,4.109,9,mps
10,0.2637984,4.021,9,mps
